#{"t_start": 1754345636.6857004, "env_id": "None"}
r,l,t
-20.0,6,0.017863
24.0,4,0.035526
41.0,2,0.141215
39.0,3,0.250615
28.0,6,0.367908
42.0,3,0.48741
-25.0,6,0.641048
27.0,4,0.65976
24.0,4,0.771495
16.0,4,0.883992
37.0,2,0.999537
-23.0,6,1.152063
36.0,2,1.158476
25.0,3,1.267886
-19.0,6,1.391694
-21.0,6,1.423153
12.0,5,1.4505
-11.0,6,1.572161
21.0,5,1.598657
-24.0,6,1.737412
28.0,3,1.766036
40.0,4,1.883955
44.0,2,1.990096
-15.0,6,2.141023
45.0,2,2.150437
36.0,2,2.258412
39.0,3,2.375468
37.0,4,2.486181
33.0,4,2.602929
41.0,3,2.713331
-29.0,6,2.861259
34.0,4,2.878628
18.0,4,2.990621
-24.0,6,3.108001
-23.0,6,3.13273
28.0,4,3.151037
-20.0,6,3.269925
26.0,3,3.281334
29.0,3,3.391981
35.0,3,3.501804
-24.0,6,3.618686
34.0,3,3.630928
37.0,2,3.736915
41.0,2,3.843353
36.0,3,3.955956
28.0,3,4.082732
-19.0,6,4.219977
-23.0,6,4.248359
28.0,3,4.264926
33.0,3,4.373241
-11.0,6,4.491961
27.0,3,4.504782
26.0,3,4.62477
29.0,3,4.732778
27.0,3,4.850314
40.0,3,4.958586
-3.0,6,5.105534
-19.0,6,5.13242
25.0,4,5.146218
-22.0,6,5.266062
16.0,4,5.281838
24.0,3,5.390465
27.0,3,5.510993
-21.0,6,5.6552
31.0,4,5.671427
28.0,3,5.781406
20.0,4,5.908172
25.0,4,6.045384
-13.0,6,6.189393
33.0,3,6.200441
-17.0,6,6.322448
30.0,3,6.337607
38.0,2,6.445856
27.0,3,6.562422
-21.0,6,6.708452
32.0,4,6.725976
25.0,3,6.83532
33.0,4,6.963073
26.0,3,7.083436
28.0,3,7.2044
16.0,4,7.334365
34.0,3,7.448119
20.0,4,7.578243
22.0,4,7.709935
29.0,3,7.836711
32.0,3,7.95768
39.0,2,8.064996
22.0,4,8.201502
12.0,5,8.338949
41.0,2,8.447556
44.0,2,8.555372
44.0,2,8.663266
32.0,3,8.783981
32.0,4,8.908555
32.0,3,9.026973
-19.0,6,9.173189
